Output	1	2D	#lambda^{1}_{1.5}	PT	4.3073	2.8724	3.0827	1.2333	1.4872
Output	1	2D	#lambda^{1}_{1.5}	var	1.2128	0.7391	0.8307	0.3302	2.5651
Output	1	2D	#lambda^{1}_{2}	PT	5.5308	2.3042	2.9683	0.8737	0.8148
Output	1	2D	#lambda^{1}_{2}	var	1.2019	0.6251	0.7218	0.2895	1.9438
Output	1	2D	#lambda^{1}_{3}	PT	2.2830	1.1583	1.3583	0.5215	0.6220
Output	1	2D	#lambda^{1}_{3}	var	0.8547	0.5626	0.6410	0.3174	1.5914
Output	1	2D	#lambda^{1}_{0.5}	PT	3.3842	1.9480	2.1985	0.9091	1.9620
Output	1	2D	#lambda^{1}_{0.5}	var	1.6049	0.9606	1.1415	0.4458	2.9991
Output	1	2D	p_{T}^{D}	PT	7.8443	3.1939	3.9625	1.0107	1.4818
Output	1	2D	p_{T}^{D}	var	3.2004	1.3670	1.7336	0.6679	1.8630
Output	2	1D		PT	11.0207	5.5305	6.5609	3.9298	2.7392
Output	2	2D	z	PT	12.7156	5.9456	6.7607	4.1410	2.5543
Output	2	2D	z	var	12.7523	4.1941	6.0663	1.0921	5.2813
Output	2	2D	#lambda^{1}_{1}	PT	9.2594	5.6390	6.3814	4.4186	3.0407
Output	2	2D	#lambda^{1}_{1}	var	1.9636	1.0216	1.1505	0.9618	5.6058
Output	2	2D	#lambda^{1}_{1.5}	PT	11.5425	4.9476	6.1619	4.3356	3.4654
Output	2	2D	#lambda^{1}_{1.5}	var	3.5036	1.1531	1.5339	1.0402	5.1722
Output	2	2D	#lambda^{1}_{2}	PT	10.6825	3.9389	5.6046	4.0494	3.1010
Output	2	2D	#lambda^{1}_{2}	var	4.7761	1.6740	2.3049	0.9581	4.5294
Output	2	2D	#lambda^{1}_{3}	PT	13.0701	5.4336	7.0631	3.8788	3.2075
Output	2	2D	#lambda^{1}_{3}	var	2.6473	1.0334	1.3383	0.8936	3.4270
Output	2	2D	#lambda^{1}_{0.5}	PT	20.5312	8.4597	10.3091	4.6807	3.3203
Output	2	2D	#lambda^{1}_{0.5}	var	3.2267	1.5260	1.7533	1.2152	5.5728
Output	2	2D	p_{T}^{D}	PT	6.1738	3.4951	3.7838	3.5038	2.5188
Output	2	2D	p_{T}^{D}	var	12.7012	5.5439	7.1842	1.5129	6.5306
